id,annual_risk,hourly_wage,age,sex,race,work_experience,union,blue_collar
2596,0.001500000013038516,13.63636302947998,47,1,1,1,1,0
2597,2.500000118743628e-4,5.295454025268555,25,1,0,0,1,1
2601,0.0010000000474974513,11.858407020568848,34,1,1,1,0,1
2607,0.0017500000540167093,5.7522125244140625,28,1,1,1,0,1
2609,0.0010000000474974513,8.230088233947754,59,1,1,1,1,1
2619,2.500000118743628e-4,7.4242424964904785,49,1,1,1,1,1
2632,0.0010000000474974513,8.181818008422852,45,1,1,1,1,1
2661,2.500000118743628e-4,6.81818151473999,35,1,1,1,0,0
2670,5.000000237487257e-4,11.734513282775879,44,1,1,1,1,1
2671,0.0010000000474974513,7.5757575035095215,32,1,1,1,1,1
2684,5.000000237487257e-4,9.689393997192383,47,0,1,1,1,1
2697,2.500000118743628e-4,7.902655124664307,28,0,0,1,1,1
2717,0.0010000000474974513,7.371211528778076,37,1,1,0,1,1
2723,2.500000118743628e-4,8.539822578430176,23,1,1,0,1,1
2738,0.0010000000474974513,10.606060028076172,60,1,1,1,1,1
2742,5.000000237487257e-4,9.77876091003418,44,1,1,1,0,1
2776,0.001500000013038516,8.409090995788574,49,1,1,0,1,1
2790,0.0012499999720603228,8.309735298156738,26,1,1,0,1,1
2791,2.500000118743628e-4,9.84848403930664,57,1,1,0,1,1
2811,5.000000237487257e-4,9.32575798034668,42,1,1,1,0,1
2816,0.0011195000261068344,4.424778938293457,56,1,1,1,0,1
2850,5.000000237487257e-4,9.090909004211426,38,1,1,1,0,1
2865,7.50000006519258e-4,10.606060028076172,37,1,1,0,1,0
2894,0.001500000013038516,10.606060028076172,46,1,1,1,1,1
2939,2.500000118743628e-4,5.545454502105713,34,1,1,0,1,0
2947,2.500000118743628e-4,3.295454263687134,27,0,1,1,0,1
3024,0.0012499999720603228,9.545454025268555,50,1,1,0,1,1
3084,7.50000006519258e-4,7.56818151473999,35,1,1,0,1,1
3093,5.000000237487257e-4,8.71212100982666,35,1,1,1,1,1
3107,0.001500000013038516,6.628787517547607,35,1,1,1,1,1
3125,2.500000118743628e-4,11.94690227508545,33,1,1,1,1,1
3133,2.500000118743628e-4,4.545454502105713,31,1,1,1,0,1
3148,2.500000118743628e-4,7.96212100982666,26,0,1,1,0,0
3177,2.500000118743628e-4,4.545454502105713,29,1,1,0,0,1
3183,2.500000118743628e-4,6.81818151473999,31,0,1,1,0,0
3226,2.500000118743628e-4,8.522727012634277,52,1,1,1,0,1
3239,0.0012499999720603228,4.772727012634277,29,1,1,0,0,1
3240,7.50000006519258e-4,6.439393520355225,27,1,1,1,0,1
3241,5.000000237487257e-4,5.416666507720947,32,1,1,1,0,0
3254,2.500000118743628e-4,6.17424201965332,44,1,1,1,0,1
3257,7.50000006519258e-4,5.378787517547607,30,1,1,1,0,1
3264,2.500000118743628e-4,15.384615898132324,45,0,1,1,0,1
3267,2.500000118743628e-4,6.239316463470459,29,0,1,1,0,1
3276,2.500000118743628e-4,10.384615898132324,33,0,1,1,0,0
3295,7.50000006519258e-4,6.153846263885498,24,1,1,0,0,1
3311,4.360000020824373e-4,4.3418803215026855,39,0,0,1,1,0
3361,7.50000006519258e-4,7.5,31,1,0,1,0,1
3536,5.000000237487257e-4,8.649999618530273,34,0,1,1,0,0
3557,2.500000118743628e-4,4.273504257202148,26,1,0,1,0,0
3595,7.50000006519258e-4,7.435897350311279,22,1,1,1,0,1
3645,2.500000118743628e-4,4.35606050491333,28,0,1,1,0,1
3684,0.0012499999720603228,7.78761100769043,26,1,1,1,0,1
3687,0.0010000000474974513,4.734848499298096,23,1,1,1,0,1
3697,2.500000118743628e-4,4.35606050491333,54,0,1,1,0,1
3713,0.0020000000949949026,7.666666507720947,31,1,1,0,0,1
3734,0.0010000000474974513,12.38938045501709,31,1,1,1,1,1
3743,5.000000237487257e-4,8.601770401000977,58,1,0,1,0,1
3784,5.000000237487257e-4,11.363636016845703,50,1,0,1,0,0
3807,2.500000118743628e-4,8.393939018249512,35,0,1,1,0,1
3817,0.001500000013038516,15.984848022460938,36,1,1,0,0,1
3838,0.0020000000949949026,11.977272987365723,59,1,1,1,1,1
3888,7.50000006519258e-4,6.81818151473999,26,0,0,1,0,0
